year,round,gp_name,circuit,driver,constructor,grid,position,points,status,laps
2024,1,Bahrain Grand Prix,Bahrain International Circuit,VER,Red Bull,1,1,26.0,Finished,57
2024,1,Bahrain Grand Prix,Bahrain International Circuit,PER,Red Bull,5,2,18.0,Finished,57
2024,1,Bahrain Grand Prix,Bahrain International Circuit,SAI,Ferrari,4,3,15.0,Finished,57
2024,1,Bahrain Grand Prix,Bahrain International Circuit,LEC,Ferrari,2,4,12.0,Finished,57
2024,1,Bahrain Grand Prix,Bahrain International Circuit,RUS,Mercedes,3,5,10.0,Finished,57
2024,1,Bahrain Grand Prix,Bahrain International Circuit,NOR,McLaren,7,6,8.0,Finished,57
2024,1,Bahrain Grand Prix,Bahrain International Circuit,HAM,Mercedes,9,7,6.0,Finished,57
2024,1,Bahrain Grand Prix,Bahrain International Circuit,PIA,McLaren,8,8,4.0,Finished,57
2024,1,Bahrain Grand Prix,Bahrain International Circuit,ALO,Aston Martin,6,9,2.0,Finished,57
2024,1,Bahrain Grand Prix,Bahrain International Circuit,STR,Aston Martin,12,10,1.0,Finished,57
2024,1,Bahrain Grand Prix,Bahrain International Circuit,ZHO,Sauber,17,11,0.0,Lapped,56
2024,1,Bahrain Grand Prix,Bahrain International Circuit,MAG,Haas F1 Team,15,12,0.0,Lapped,56
2024,1,Bahrain Grand Prix,Bahrain International Circuit,RIC,RB F1 Team,14,13,0.0,Lapped,56
2024,1,Bahrain Grand Prix,Bahrain International Circuit,TSU,RB F1 Team,11,14,0.0,Lapped,56
2024,1,Bahrain Grand Prix,Bahrain International Circuit,ALB,Williams,13,15,0.0,Lapped,56
2024,1,Bahrain Grand Prix,Bahrain International Circuit,HUL,Haas F1 Team,10,16,0.0,Lapped,56
2024,1,Bahrain Grand Prix,Bahrain International Circuit,OCO,Alpine F1 Team,19,17,0.0,Lapped,56
2024,1,Bahrain Grand Prix,Bahrain International Circuit,GAS,Alpine F1 Team,20,18,0.0,Lapped,56
2024,1,Bahrain Grand Prix,Bahrain International Circuit,BOT,Sauber,16,19,0.0,Lapped,56
2024,1,Bahrain Grand Prix,Bahrain International Circuit,SAR,Williams,18,20,0.0,Lapped,55
2024,2,Saudi Arabian Grand Prix,Jeddah Corniche Circuit,VER,Red Bull,1,1,25.0,Finished,50
2024,2,Saudi Arabian Grand Prix,Jeddah Corniche Circuit,PER,Red Bull,3,2,18.0,Finished,50
2024,2,Saudi Arabian Grand Prix,Jeddah Corniche Circuit,LEC,Ferrari,2,3,16.0,Finished,50
2024,2,Saudi Arabian Grand Prix,Jeddah Corniche Circuit,PIA,McLaren,5,4,12.0,Finished,50
2024,2,Saudi Arabian Grand Prix,Jeddah Corniche Circuit,ALO,Aston Martin,4,5,10.0,Finished,50
2024,2,Saudi Arabian Grand Prix,Jeddah Corniche Circuit,RUS,Mercedes,7,6,8.0,Finished,50
2024,2,Saudi Arabian Grand Prix,Jeddah Corniche Circuit,BEA,Ferrari,11,7,6.0,Finished,50
