year,round,gp_name,circuit,driver,constructor,grid,position,points,status,laps
2026,1,Australian Grand Prix,Albert Park Grand Prix Circuit,RUS,Mercedes,1,1,25.0,Finished,58
2026,1,Australian Grand Prix,Albert Park Grand Prix Circuit,ANT,Mercedes,2,2,18.0,Finished,58
2026,1,Australian Grand Prix,Albert Park Grand Prix Circuit,LEC,Ferrari,4,3,15.0,Finished,58
2026,1,Australian Grand Prix,Albert Park Grand Prix Circuit,HAM,Ferrari,7,4,12.0,Finished,58
2026,1,Australian Grand Prix,Albert Park Grand Prix Circuit,NOR,McLaren,6,5,10.0,Finished,58
2026,1,Australian Grand Prix,Albert Park Grand Prix Circuit,VER,Red Bull,20,6,8.0,Finished,58
2026,1,Australian Grand Prix,Albert Park Grand Prix Circuit,BEA,Haas F1 Team,12,7,6.0,Lapped,57
2026,1,Australian Grand Prix,Albert Park Grand Prix Circuit,LIN,RB F1 Team,9,8,4.0,Lapped,57
2026,1,Australian Grand Prix,Albert Park Grand Prix Circuit,BOR,Audi,10,9,2.0,Lapped,57
2026,1,Australian Grand Prix,Albert Park Grand Prix Circuit,GAS,Alpine F1 Team,14,10,1.0,Lapped,57
2026,1,Australian Grand Prix,Albert Park Grand Prix Circuit,OCO,Haas F1 Team,13,11,0.0,Lapped,57
2026,1,Australian Grand Prix,Albert Park Grand Prix Circuit,ALB,Williams,15,12,0.0,Lapped,57
2026,1,Australian Grand Prix,Albert Park Grand Prix Circuit,LAW,RB F1 Team,8,13,0.0,Lapped,57
2026,1,Australian Grand Prix,Albert Park Grand Prix Circuit,COL,Alpine F1 Team,16,14,0.0,Lapped,56
2026,1,Australian Grand Prix,Albert Park Grand Prix Circuit,SAI,Williams,21,15,0.0,Lapped,56
2026,1,Australian Grand Prix,Albert Park Grand Prix Circuit,PER,Cadillac F1 Team,18,16,0.0,Lapped,55
2026,1,Australian Grand Prix,Albert Park Grand Prix Circuit,STR,Aston Martin,22,17,0.0,Lapped,43
2026,1,Australian Grand Prix,Albert Park Grand Prix Circuit,ALO,Aston Martin,17,18,0.0,Retired,21
2026,1,Australian Grand Prix,Albert Park Grand Prix Circuit,BOT,Cadillac F1 Team,19,19,0.0,Retired,15
2026,1,Australian Grand Prix,Albert Park Grand Prix Circuit,HAD,Red Bull,3,20,0.0,Retired,10
2026,1,Australian Grand Prix,Albert Park Grand Prix Circuit,PIA,McLaren,5,21,0.0,Did not start,0
2026,1,Australian Grand Prix,Albert Park Grand Prix Circuit,HUL,Audi,11,22,0.0,Did not start,0
2026,2,Chinese Grand Prix,Shanghai International Circuit,ANT,Mercedes,1,1,25.0,Finished,56
2026,2,Chinese Grand Prix,Shanghai International Circuit,RUS,Mercedes,2,2,18.0,Finished,56
2026,2,Chinese Grand Prix,Shanghai International Circuit,HAM,Ferrari,3,3,15.0,Finished,56
2026,2,Chinese Grand Prix,Shanghai International Circuit,LEC,Ferrari,4,4,12.0,Finished,56
2026,2,Chinese Grand Prix,Shanghai International Circuit,BEA,Haas F1 Team,10,5,10.0,Finished,56
2026,2,Chinese Grand Prix,Shanghai International Circuit,GAS,Alpine F1 Team,7,6,8.0,Finished,56
2026,2,Chinese Grand Prix,Shanghai International Circuit,LAW,RB F1 Team,14,7,6.0,Finished,56
2026,2,Chinese Grand Prix,Shanghai International Circuit,HAD,Red Bull,9,8,4.0,Finished,56
2026,2,Chinese Grand Prix,Shanghai International Circuit,SAI,Williams,17,9,2.0,Lapped,55
2026,2,Chinese Grand Prix,Shanghai International Circuit,COL,Alpine F1 Team,12,10,1.0,Lapped,55
2026,2,Chinese Grand Prix,Shanghai International Circuit,HUL,Audi,11,11,0.0,Lapped,55
2026,2,Chinese Grand Prix,Shanghai International Circuit,LIN,RB F1 Team,15,12,0.0,Lapped,55
2026,2,Chinese Grand Prix,Shanghai International Circuit,BOT,Cadillac F1 Team,19,13,0.0,Lapped,55
2026,2,Chinese Grand Prix,Shanghai International Circuit,OCO,Haas F1 Team,13,14,0.0,Lapped,55
2026,2,Chinese Grand Prix,Shanghai International Circuit,PER,Cadillac F1 Team,21,15,0.0,Lapped,55
2026,2,Chinese Grand Prix,Shanghai International Circuit,VER,Red Bull,8,16,0.0,Retired,45
2026,2,Chinese Grand Prix,Shanghai International Circuit,ALO,Aston Martin,18,17,0.0,Retired,32
2026,2,Chinese Grand Prix,Shanghai International Circuit,STR,Aston Martin,20,18,0.0,Retired,9
2026,2,Chinese Grand Prix,Shanghai International Circuit,PIA,McLaren,5,19,0.0,Did not start,0
2026,2,Chinese Grand Prix,Shanghai International Circuit,NOR,McLaren,6,20,0.0,Did not start,0
2026,2,Chinese Grand Prix,Shanghai International Circuit,BOR,Audi,16,21,0.0,Did not start,0
2026,2,Chinese Grand Prix,Shanghai International Circuit,ALB,Williams,22,22,0.0,Did not start,0
2026,3,Japanese Grand Prix,Suzuka Circuit,ANT,Mercedes,1,1,25.0,Finished,53
2026,3,Japanese Grand Prix,Suzuka Circuit,PIA,McLaren,3,2,18.0,Finished,53
2026,3,Japanese Grand Prix,Suzuka Circuit,LEC,Ferrari,4,3,15.0,Finished,53
2026,3,Japanese Grand Prix,Suzuka Circuit,RUS,Mercedes,2,4,12.0,Finished,53
